FECHA,HORA,D_viento,H_relativa,P_atmosferica,Temperatura,V_viento,Pluviometria,Media_D_viento,Media_V_viento,Media_P_atmosferica,Media_Temperatura,Media_H_relativa,Minimo_Temperatura,Maximo_Temperatura,Rango_Temperatura,Media_PM2_5,Minimo_PM2_5,Maximo_PM2_5,Rango_PM2_5,PM2_5,PM10
140401,1700,116.992,40.131,1003.33,23.533,1.0,0.0,150.431,0.683,963.493,12.767,74.027,6.415,23.533,15.863,17.583,11.0,46.0,40.0,11.0,28.0
140401,1800,164.604,45.159,1003.0,22.784,0.5,0.0,150.431,0.683,963.493,12.767,74.027,6.415,23.533,15.863,17.583,11.0,46.0,40.0,12.0,42.0
140401,1900,150.819,57.049,1003.0,19.638,0.1,0.0,150.431,0.683,963.493,12.767,74.027,6.415,23.533,15.863,17.583,11.0,46.0,40.0,19.0,52.0
140401,2000,26.425,66.369,1003.33,16.952,0.1,0.0,150.431,0.683,963.493,12.767,74.027,6.415,23.533,15.863,17.583,11.0,46.0,40.0,37.0,63.0
140401,2100,327.105,77.497,1003.83,14.807,0.1,0.0,150.431,0.683,963.493,12.767,74.027,6.415,23.533,15.863,17.583,11.0,46.0,40.0,46.0,90.0
140401,2200,240.034,82.438,1003.33,13.759,0.5,0.0,150.431,0.683,963.493,12.767,74.027,6.415,23.533,15.863,17.583,11.0,46.0,40.0,32.0,86.0
140401,2300,146.188,85.858,1003.33,12.691,0.4,0.0,150.431,0.683,963.493,12.767,74.027,6.415,23.533,15.863,17.583,11.0,46.0,40.0,41.0,75.0
140402,1700,254.081,32.112,1003.0,23.372,1.4,0.0,187.426,0.904,1004.118,14.271,72.592,6.415,23.548,16.594,16.438,4.5,46.0,43.0,6.0,16.0
140402,1800,251.861,38.649,1003.17,22.062,1.6,0.0,187.426,0.904,1004.118,14.271,72.592,6.415,23.548,16.594,16.438,4.5,46.0,43.0,7.0,37.0
140402,1900,234.667,49.463,1004.0,19.163,1.5,0.0,187.426,0.904,1004.118,14.271,72.592,6.415,23.548,16.594,16.438,4.5,46.0,43.0,11.0,35.0
140402,2000,216.98,62.322,1004.0,16.316,0.9,0.0,187.426,0.904,1004.118,14.271,72.592,6.415,23.548,16.594,16.438,4.5,46.0,43.0,12.0,38.0
140402,2100,197.413,74.719,1004.5,13.922,1.0,0.0,187.426,0.904,1004.118,14.271,72.592,6.415,23.548,16.594,16.438,4.5,46.0,43.0,14.0,32.0
140402,2200,208.861,74.512,1005.0,13.433,1.7,0.0,187.426,0.904,1004.118,14.271,72.592,6.415,23.548,16.594,16.438,4.5,46.0,43.0,16.0,22.0
140402,2300,196.685,79.732,1005.0,11.942,1.1,0.0,187.426,0.904,1004.118,14.271,72.592,6.415,23.548,16.594,16.438,4.5,46.0,43.0,11.0,23.0
140403,1700,186.159,80.569,1005.0,12.524,1.0,0.0,208.693,0.837,1005.062,10.461,90.076,6.415,23.548,16.594,16.104,4.5,46.0,67.0,23.0,40.0
140403,1800,154.124,81.725,1005.0,12.568,0.5,0.0,208.693,0.837,1005.062,10.461,90.076,6.415,23.548,16.594,16.104,4.5,46.0,67.0,4.5,62.0
140403,1900,168.553,87.017,1005.33,11.308,0.3,0.0,208.693,0.837,1005.062,10.461,90.076,6.415,23.548,16.594,16.104,4.5,46.0,67.0,23.0,75.0
140403,2000,351.091,95.383,1005.83,9.495,0.0,0.0,208.693,0.837,1005.062,10.461,90.076,6.415,23.548,16.594,16.104,4.5,46.0,67.0,28.0,66.0
140403,2100,201.244,95.475,1005.83,10.405,0.3,0.0,208.693,0.837,1005.062,10.461,90.076,6.415,23.548,16.594,16.104,4.5,46.0,67.0,24.0,67.0
140403,2200,195.589,89.317,1006.0,11.206,0.4,0.0,208.693,0.837,1005.062,10.461,90.076,6.415,23.548,16.594,16.104,4.5,46.0,67.0,28.0,33.0
140403,2300,195.273,87.592,1005.17,11.368,0.8,0.0,208.693,0.837,1005.062,10.461,90.076,6.415,23.548,16.594,16.104,4.5,46.0,67.0,33.0,35.0
140404,1700,198.071,57.545,1005.0,17.571,1.4,0.0,176.994,0.817,1005.0,11.68,85.151,6.415,23.548,16.594,38.5,4.5,64.0,198.0,28.0,41.0
140404,1800,173.972,63.812,1004.83,17.099,0.8,0.0,176.994,0.817,1005.0,11.68,85.151,6.415,23.548,16.594,38.5,4.5,64.0,198.0,29.0,57.0
140404,1900,133.833,76.778,1005.0,14.218,0.2,0.0,176.994,0.817,1005.0,11.68,85.151,6.415,23.548,16.594,38.5,4.5,64.0,198.0,30.0,85.0
140404,2000,339.541,84.133,1005.0,12.138,0.1,0.0,176.994,0.817,1005.0,11.68,85.151,6.415,23.548,16.594,38.5,4.5,64.0,198.0,54.0,87.0
140404,2100,20.954,90.175,1005.0,10.61,0.1,0.0,176.994,0.817,1005.0,11.68,85.151,6.415,23.548,16.594,38.5,4.5,64.0,198.0,64.0,111.0
140404,2200,70.35,95.417,1005.0,9.253,0.1,0.0,176.994,0.817,1005.0,11.68,85.151,6.415,23.548,16.594,38.5,4.5,64.0,198.0,47.0,104.0
140404,2300,175.58,96.7,1005.0,8.357,0.1,0.0,176.994,0.817,1005.0,11.68,85.151,6.415,23.548,16.594,38.5,4.5,64.0,198.0,55.0,100.0
140405,1700,106.832,50.851,1002.0,20.141,0.8,0.1,117.881,0.558,1003.545,10.312,86.167,4.407,23.548,19.226,37.833,4.5,64.0,261.0,20.0,38.0
140405,1800,112.803,55.362,1002.0,19.078,0.4,0.1,117.881,0.558,1003.545,10.312,86.167,4.407,23.548,19.226,37.833,4.5,64.0,261.0,23.0,46.0
140405,1900,127.439,69.663,1002.0,15.782,0.2,0.1,117.881,0.558,1003.545,10.312,86.167,4.407,23.548,19.226,37.833,4.5,64.0,261.0,29.0,89.0
140405,2000,93.273,79.226,1002.0,13.315,0.1,0.1,117.881,0.558,1003.545,10.312,86.167,4.407,23.548,19.226,37.833,4.5,64.0,261.0,44.0,67.0
140405,2100,38.803,86.892,1002.0,11.531,0.1,0.1,117.881,0.558,1003.545,10.312,86.167,4.407,23.548,19.226,37.833,4.5,64.0,261.0,48.0,89.0
140405,2200,81.518,91.808,1002.0,10.327,0.3,0.1,117.881,0.558,1003.545,10.312,86.167,4.407,23.548,19.226,37.833,4.5,64.0,261.0,64.0,119.0
140405,2300,49.002,95.267,1001.08,9.087,0.3,0.1,117.881,0.558,1003.545,10.312,86.167,4.407,23.548,19.226,37.833,4.5,64.0,261.0,54.0,117.0
140406,1700,56.746,71.353,1004.0,15.051,1.0,0.0,56.888,0.708,1003.0,9.458,90.813,4.407,23.548,19.226,29.083,4.5,64.0,261.0,22.0,27.0
