FECHA,HORA,D_viento,H_relativa,P_atmosferica,Temperatura,V_viento,Pluviometria,Media_D_viento,Media_V_viento,Media_P_atmosferica,Media_Temperatura,Media_H_relativa,Minimo_Temperatura,Maximo_Temperatura,Rango_Temperatura,Media_PM2_5,Minimo_PM2_5,Maximo_PM2_5,Rango_PM2_5,PM2_5,PM10
140401,1700,142.055,40.242,1001.0,23.048,1.2,0.0,139.651,0.854,961.257,13.317,73.29,7.02,23.048,15.863,14.125,4.0,53.0,40.0,8.0,29.0
140401,1800,168.141,40.87,1001.0,22.896,1.2,0.0,139.651,0.854,961.257,13.317,73.29,7.02,23.048,15.863,14.125,4.0,53.0,40.0,8.0,46.0
140401,1900,176.409,50.516,1001.0,21.012,0.5,0.0,139.651,0.854,961.257,13.317,73.29,7.02,23.048,15.863,14.125,4.0,53.0,40.0,26.0,64.0
140401,2000,164.148,63.612,1001.0,18.039,0.4,0.0,139.651,0.854,961.257,13.317,73.29,7.02,23.048,15.863,14.125,4.0,53.0,40.0,33.0,111.0
140401,2100,165.842,70.514,1001.0,16.123,0.3,0.0,139.651,0.854,961.257,13.317,73.29,7.02,23.048,15.863,14.125,4.0,53.0,40.0,50.0,106.0
140401,2200,223.824,73.922,1001.0,15.326,0.5,0.0,139.651,0.854,961.257,13.317,73.29,7.02,23.048,15.863,14.125,4.0,53.0,40.0,53.0,127.0
140401,2300,178.465,78.408,1001.0,14.499,0.7,0.0,139.651,0.854,961.257,13.317,73.29,7.02,23.048,15.863,14.125,4.0,53.0,40.0,22.0,88.0
140402,1700,304.931,31.242,1001.0,24.024,1.4,0.0,190.232,1.087,1001.917,15.118,70.7,7.02,24.024,16.594,12.5,4.0,53.0,43.0,7.0,21.0
140402,1800,251.376,35.869,1001.0,22.722,1.8,0.0,190.232,1.087,1001.917,15.118,70.7,7.02,24.024,16.594,12.5,4.0,53.0,43.0,7.0,30.0
140402,1900,246.615,49.348,1001.5,19.875,2.2,0.0,190.232,1.087,1001.917,15.118,70.7,7.02,24.024,16.594,12.5,4.0,53.0,43.0,11.0,37.0
140402,2000,233.227,62.14,1002.0,16.978,2.1,0.0,190.232,1.087,1001.917,15.118,70.7,7.02,24.024,16.594,12.5,4.0,53.0,43.0,24.0,40.0
140402,2100,219.957,70.504,1002.08,15.142,1.9,0.0,190.232,1.087,1001.917,15.118,70.7,7.02,24.024,16.594,12.5,4.0,53.0,43.0,23.0,46.0
140402,2200,229.503,74.307,1003.0,13.748,1.9,0.0,190.232,1.087,1001.917,15.118,70.7,7.02,24.024,16.594,12.5,4.0,53.0,43.0,15.0,29.0
140402,2300,210.554,78.575,1003.0,12.579,1.3,0.0,190.232,1.087,1001.917,15.118,70.7,7.02,24.024,16.594,12.5,4.0,53.0,43.0,20.0,31.0
140403,1700,157.747,83.942,1003.0,12.389,1.3,0.0,187.685,1.088,1002.767,10.854,91.198,7.02,24.024,16.594,16.579,4.0,53.0,67.0,30.9,35.0
140403,1800,135.355,83.958,1003.0,12.313,1.6,0.0,187.685,1.088,1002.767,10.854,91.198,7.02,24.024,16.594,16.579,4.0,53.0,67.0,19.0,34.0
140403,1900,107.681,84.9,1003.0,12.089,0.9,0.0,187.685,1.088,1002.767,10.854,91.198,7.02,24.024,16.594,16.579,4.0,53.0,67.0,26.0,36.0
140403,2000,27.302,91.417,1003.0,10.762,0.1,0.0,187.685,1.088,1002.767,10.854,91.198,7.02,24.024,16.594,16.579,4.0,53.0,67.0,24.0,49.0
140403,2100,152.288,90.458,1003.0,11.262,0.6,0.0,187.685,1.088,1002.767,10.854,91.198,7.02,24.024,16.594,16.579,4.0,53.0,67.0,30.0,39.0
140403,2200,162.883,87.933,1003.0,11.666,0.9,0.0,187.685,1.088,1002.767,10.854,91.198,7.02,24.024,16.594,16.579,4.0,53.0,67.0,27.0,39.0
140403,2300,189.976,87.258,1003.0,11.718,1.0,0.0,187.685,1.088,1002.767,10.854,91.198,7.02,24.024,16.594,16.579,4.0,53.0,67.0,38.0,44.0
140404,1700,182.197,60.258,1002.0,17.336,1.6,0.0,178.336,1.004,1002.638,11.871,86.21,7.02,24.024,16.594,39.208,4.0,77.0,198.0,18.0,40.0
140404,1800,158.859,63.46,1002.0,16.944,1.4,0.0,178.336,1.004,1002.638,11.871,86.21,7.02,24.024,16.594,39.208,4.0,77.0,198.0,30.0,44.0
140404,1900,109.563,70.805,1002.25,15.268,0.4,0.0,178.336,1.004,1002.638,11.871,86.21,7.02,24.024,16.594,39.208,4.0,77.0,198.0,28.0,60.0
140404,2000,197.281,82.928,1003.0,12.715,0.2,0.0,178.336,1.004,1002.638,11.871,86.21,7.02,24.024,16.594,39.208,4.0,77.0,198.0,43.0,74.0
140404,2100,360.0,89.967,1003.0,11.411,0.0,0.0,178.336,1.004,1002.638,11.871,86.21,7.02,24.024,16.594,39.208,4.0,77.0,198.0,47.0,88.0
140404,2200,354.829,95.042,1003.0,10.142,0.0,0.0,178.336,1.004,1002.638,11.871,86.21,7.02,24.024,16.594,39.208,4.0,77.0,198.0,77.0,111.0
140404,2300,25.559,96.742,1002.42,9.301,0.0,0.0,178.336,1.004,1002.638,11.871,86.21,7.02,24.024,16.594,39.208,4.0,77.0,198.0,73.0,159.0
140405,1700,159.025,51.47,1000.0,19.756,1.0,0.1,159.763,0.504,1001.295,10.95,86.661,5.006,24.024,19.226,46.375,4.0,107.0,261.0,20.0,34.0
140405,1800,147.673,52.177,999.0,19.503,0.8,0.1,159.763,0.504,1001.295,10.95,86.661,5.006,24.024,19.226,46.375,4.0,107.0,261.0,19.0,44.0
140405,1900,131.595,65.291,999.833,16.838,0.2,0.1,159.763,0.504,1001.295,10.95,86.661,5.006,24.024,19.226,46.375,4.0,107.0,261.0,35.0,52.0
140405,2000,19.402,78.462,1000.0,14.005,0.1,0.1,159.763,0.504,1001.295,10.95,86.661,5.006,24.024,19.226,46.375,4.0,107.0,261.0,41.0,93.0
140405,2100,360.0,84.733,1000.0,12.596,0.0,0.1,159.763,0.504,1001.295,10.95,86.661,5.006,24.024,19.226,46.375,4.0,107.0,261.0,107.0,143.0
140405,2200,355.81,88.975,999.583,11.612,0.0,0.1,159.763,0.504,1001.295,10.95,86.661,5.006,24.024,19.226,46.375,4.0,107.0,261.0,90.0,170.0
140405,2300,184.933,92.583,999.0,10.593,0.5,0.1,159.763,0.504,1001.295,10.95,86.661,5.006,24.024,19.226,46.375,4.0,107.0,261.0,45.0,113.0
140406,1700,55.066,72.137,1002.0,14.999,1.8,0.0,81.178,0.896,1000.813,10.36,90.332,5.006,24.024,19.226,30.833,4.0,107.0,261.0,23.0,26.0
140406,1800,66.548,73.19,1002.0,14.562,1.7,0.0,81.178,0.896,1000.813,10.36,90.332,5.006,24.024,19.226,30.833,4.0,107.0,261.0,26.0,27.0
