,lf_pm10_o,lf_pm10_p,ucm_pm10_o,ucm_pm10_p,utal_pm10_o,utal_pm10_p,lf_pm2_5_o,lf_pm2_5_p,ucm_pm2_5_o,ucm_pm2_5_p,utal_pm2_5_o,utal_pm2_5_p
0,28.0,33.29179977018033,18.68,34.183543925803576,15.57,27.656568682705096,11.0,3.992827008996024,1.0,8.028217949079629,2.857,4.6631826684955735
1,42.0,43.88924161943764,10.45,28.606678645169538,18.51,26.789079435053402,13.0,8.474960189344241,1.0,1.5435854036827201,5.704,7.4122803578599425
2,32.0,45.47787935466626,13.19,30.641887537973073,24.22,26.705283637813626,14.0,6.524585855233951,1.0,2.232240777473431,2.857,11.268453248049697
3,32.0,35.6196802102945,10.45,31.86476036558739,40.7,33.140864134291846,15.0,11.047608572949795,1.0,2.380817639022264,8.53,21.128803274010053
4,30.0,32.71260201326862,21.42,33.162981989497084,68.77,44.38241933915876,9.0,9.303199143486811,4.166,7.46400135868197,20.04,34.21966926742532
5,28.0,39.25071752261036,41.08,48.84051860472359,40.78,34.705207665242305,14.0,10.808533560761528,15.52,19.14412470971969,14.23,19.484433928978028
6,23.0,54.79156605424981,48.88,54.86170311941274,50.98,40.3348333490969,29.0,8.683308388559624,24.04,22.492224416576818,17.09,30.421493507238694
7,20.0,38.30179375367421,24.17,40.10583469504934,21.38,32.45039083094565,8.0,0.958502806291111,1.0,-2.385420531356675,1.0,-0.5542496869855658
8,34.0,43.205551361128265,15.94,39.841806329053284,38.0,31.82302879316322,14.0,6.764238489109408,1.0,-1.734615089392372,1.0,4.258201010096029
9,27.0,43.687550058611045,29.57,39.99854345837075,42.0,36.799833313693505,15.0,4.3038886255909805,1.0,1.7602697036154729,5.704,7.795353774932266
10,24.0,29.296311852559164,37.88,31.91116419503894,39.35,39.73503127450134,8.0,6.047945363336981,4.166,9.07575936210544,8.55,8.841345239793526
11,18.0,29.35572176632625,26.91,33.59426326101608,27.0,33.002520169790614,8.0,5.667584747993073,7.004,6.1347291579042516,7.085,5.10592966609745
12,13.0,39.29961128592523,21.42,30.302218607386198,19.19,25.41284099907348,13.0,5.96642333513014,3.934,3.859382210456851,2.857,4.773508747107543
13,8.0,31.766447719946,10.45,28.294189260781014,20.0,23.13604577005638,8.0,3.9586880291795516,1.0,2.0695332162312,2.857,10.530076552859995
14,47.0,38.7578640859163,51.6,45.29754678630951,30.05,31.334784154357628,9.0,15.227336150795889,1.0,10.307093781870888,5.704,6.535747390835554
15,69.0,45.44028269670559,29.65,52.47986548624792,42.86,39.85022216268317,17.0,21.07072109827617,1.0,2.2562043103938434,8.55,13.275407458007365
16,110.0,61.0446527460777,98.0,55.72688373096872,75.53,51.34116265424575,35.0,53.63799934107229,7.004,36.714544646368026,14.24,33.71663819509723
17,80.0,57.64773670145065,41.0,54.31993326827566,86.4,53.871359073923564,32.0,36.21430758080156,9.84,8.768732067652063,22.79,45.00232604172364
18,96.0,66.43266091088924,65.31,47.320609067773674,160.0,74.98588438888764,39.0,58.46090399309939,9.84,22.324739009157526,39.87,109.81366475774135
19,104.0,64.91691249451361,48.85,48.577879716262856,37.29,38.973199278138395,40.0,64.20257225252423,12.68,17.565224441568105,11.4,21.41900720193424
20,132.0,89.25288673851907,10.45,43.40105149535556,23.44,34.262084237083286,58.0,71.96857934350874,9.83,2.338481290628449,11.13,10.00961703742386
21,28.0,36.46583857981971,59.45,59.04643495600135,40.51,33.71128116481079,12.0,6.88041866224785,3.922,14.089723007207297,5.459,15.460844536916483
22,26.0,31.762087057250618,62.57,56.89073285517767,105.5,125.16191060069153,11.0,7.587831610973767,7.811,16.084054882166015,73.57,54.310156874334105
23,37.0,41.63783185785038,62.57,55.11861862282103,58.17,42.18824964745267,16.0,15.303232049250052,9.98,17.781337206390404,13.63,26.31893679290179
24,4.0,29.201329619359086,48.85,53.49516112704518,50.01,42.27018715097223,8.0,3.6229088503648996,9.15,14.529934889801794,13.63,22.688803748025673
25,6.0,28.557756777962133,51.6,50.96215415333702,56.34,41.82310079067383,4.0,5.574530843992169,11.41,16.91535572189969,13.63,28.7837912662445
26,9.0,28.220845751246422,48.86,51.21242943522098,53.24,50.04429070728304,2.0,6.79763132328626,12.13,18.197389145375958,18.0,26.02568926954791
27,7.0,27.64327575031352,49.34,49.4381435666664,35.0,37.02372239413792,2.0,6.1141564202651555,14.79,19.42112884564665,10.91,21.90173809291884
28,31.0,35.931285556738004,90.0,58.149556582288895,34.42,34.97165658464582,8.0,9.809438678870999,1.206,25.45465803917589,4.015,6.292946544884732
29,35.0,42.168304011101284,65.31,69.05266323189413,71.17,38.089944421774454,13.0,11.840576913511224,14.79,15.587602292264728,6.848,26.494796464857462
30,37.0,48.16390688798204,103.8,56.47861495715026,59.99,45.62407560050037,14.0,13.338932390007201,18.43,41.61924722220809,10.91,20.468319696318403
31,26.0,40.31294177966724,49.51,52.456539934461766,46.78,44.96606385403156,8.0,11.14763854493416,18.0,15.008726358374798,12.27,18.371032508681097
32,29.0,31.288550440660277,57.08,50.140402705388794,59.47,53.265673513700655,4.0,12.54965798869209,12.07,20.20392117270873,19.08,26.81821655033537
33,20.0,44.32529748321811,51.6,49.77367268710112,50.0,51.37209734157074,19.0,8.510743488068641,14.79,21.31614279666546,20.6,23.92553376256167
34,15.0,35.81767276497997,40.62,40.324671440520035,40.39,50.5679969277842,10.0,4.894956973818929,4.076,14.966166644459753,19.08,22.600991928826673
35,54.0,52.362941783229665,37.88,62.29046122961954,40.9,27.054473291503463,15.0,22.26355530292421,3.868,6.835633000831684,6.78,27.186637601046904
36,40.0,38.26229600109386,29.14,58.495085715394936,31.0,27.779959523434524,17.0,15.89064795222429,1.0,10.555440010669354,2.735,6.0773553597342485
37,17.0,41.617460516387595,29.08,54.123258494601856,21.38,27.855103417528046,19.0,5.255558029132012,1.0,12.401891744239512,2.735,3.9991566211202616
38,18.0,43.51951302849248,10.44,52.44605489924503,20.0,25.7430253488944,10.0,6.707874901480999,1.0,8.597753302137072,4.038,4.685756002448503
39,26.0,34.19788188625374,7.706,54.92006728003402,15.57,25.21573216660714,7.0,9.810171259572343,1.0,9.762015493390017,5.441,3.4221494527874894
40,36.0,42.13158089276147,19.0,56.74435135233499,23.75,22.155918606598284,4.0,15.731684195599877,1.0,15.931569704588808,2.735,9.286580840000454
41,24.0,42.53863153823244,10.45,53.31728295553016,15.57,20.821875338743784,11.0,11.93957454492851,1.0,5.6294236163874825,2.735,8.978392969593497
42,28.0,39.99331297629258,10.45,14.889042330328971,16.21,19.698748689768465,14.0,4.360911695725633,1.0,7.229293143140698,8.18,9.022675306033964
43,25.0,45.54218843108331,10.45,17.140492996424726,28.24,15.64846230019446,25.0,3.266521165094501,1.206,5.6569803691023175,5.459,13.66823833079798
44,21.0,35.534803479896105,13.19,14.759071574586631,32.0,21.344052667748006,11.0,3.5933389211284097,3.936,5.169583979515059,6.826,22.92784197948615
45,21.0,32.27990025902895,10.45,19.74836396511043,23.19,17.04329214344543,8.0,5.370645403716981,3.923,9.277261929648912,5.459,17.670409078249868
46,14.0,29.601241837043283,15.95,18.531715244725184,25.58,18.46759600196181,5.0,3.701385704770478,2.444,10.274193770177767,5.482,15.773612316258344
47,9.0,29.586234194591004,15.95,17.000999511907843,24.58,22.377578262370665,3.0,4.062857340543967,3.872,7.817617694341738,8.18,10.269519300514114
48,18.0,32.76653043127796,13.21,13.25359827640119,38.96,25.546585041272806,1.0,7.896358574889371,1.398,5.861704130594319,9.19,25.134981522183075
49,7.0,36.15123237195911,7.702,38.741962449674375,15.56,23.405606535431673,1.0,-4.598091561145749,1.0,-3.5331398232979865,2.735,0.3560496678409102
50,21.0,39.8615671996243,7.702,36.949300389372375,22.0,24.641805931063956,6.0,-0.9955992190428202,1.206,-1.596259604310017,5.418,3.421079103606249
51,20.0,38.49589162886598,26.91,32.34327494606086,28.0,26.283227092399617,13.0,2.8338726040581634,6.104,7.443972010729916,5.459,6.628066316292245
52,16.0,31.147497850725067,43.37,40.58637047837584,55.21,48.730578724799564,8.0,3.3151100018231485,22.91,18.060513395061395,24.53,29.8410093844562
53,23.0,27.995318120074796,40.63,43.46980026289283,47.38,43.99541805321043,4.0,8.295501929298021,22.94,16.018763035487915,25.0,25.992883427760106
54,18.0,28.965031813349338,35.16,41.23685361934041,38.0,42.350634771415756,4.0,4.41133228109917,20.23,15.503964560125247,20.0,25.398354970495618
55,17.0,30.46385274392697,24.19,35.62930857019189,38.53,34.93670165880421,1.0,7.7416809930395205,12.08,10.619048345002367,17.0,25.000446050913215
56,12.0,18.574083889728648,29.5,33.558560136990664,15.57,31.388792979731654,2.0,1.928742887735658,11.5,14.910136385108807,6.767,3.158300623050158
